x,orb_pct,game_result,ft_rate,ts_pct,drb_pct,trb_pct,tov_pct,pace,date_game,stl_pct,game_season,pts,fg3a_per_fga_pct,game_location,off_rtg,efg_pct,def_rtg,blk_pct,team_id,ast_pct,fta_per_fga_pct
,29.2,L,.229,.507,76.5,53.5,17.0,95.8,2023-11-15,7.3,12,94,.398,,98.1,.452,100.2,7.4,CHI,48.5,.265
,12.2,L,.215,.547,74.4,42.5,15.3,97.0,2023-11-17,10.3,13,97,.367,,100.0,.506,106.2,6.7,CHI,54.3,.278
,25.6,W,.173,.571,87.2,56.4,12.7,92.2,2023-11-18,9.8,14,102,.556,,110.6,.543,105.2,14.6,CHI,66.7,.235
,17.1,L,.185,.568,76.3,45.6,11.1,90.9,2023-11-20,2.2,15,100,.457,,110.1,.525,129.9,14.3,CHI,56.8,.198
,24.4,L,.193,.534,71.1,45.8,11.2,92.6,2023-11-22,7.6,16,102,.500,@,110.2,.483,125.3,4.3,CHI,64.7,.193
,25.0,L,.146,.598,68.3,48.1,12.6,93.2,2023-11-24,5.4,17,108,.329,@,115.8,.585,129.8,4.5,CHI,47.6,.232
,24.4,L,.205,.588,78.9,50.6,10.6,91.1,2023-11-26,3.3,18,109,.386,@,119.7,.554,129.6,6.7,CHI,52.5,.265
,18.0,L,.111,.495,71.8,41.6,7.6,96.6,2023-11-28,11.4,19,97,.311,@,100.4,.483,128.4,17.1,CHI,64.1,.200
,29.2,W,.173,.557,80.4,54.3,16.3,101.5,2023-11-30,12.5,20,120,.378,,107.1,.526,100.8,8.0,CHI,71.1,.224
,31.6,W,.125,.655,69.0,51.3,12.1,94.0,2023-12-02,6.4,21,124,.455,,132.0,.642,125.6,14.0,CHI,66.7,.170
,41.2,W,.256,.540,75.0,57.6,13.5,96.4,2023-12-06,6.2,22,111,.278,,115.1,.489,103.7,11.3,CHI,60.5,.322
,41.4,W,.137,.537,76.2,56.0,6.6,94.0,2023-12-08,9.6,23,121,.275,@,128.7,.525,119.1,4.9,CHI,57.4,.235
,30.0,L,.175,.516,84.6,51.5,4.6,96.6,2023-12-11,2.8,24,129,.298,@,120.9,.478,124.7,8.2,CHI,53.2,.219
,26.2,L,.244,.551,66.7,47.1,12.7,93.1,2023-12-12,6.4,25,106,.465,,113.8,.494,122.4,17.0,CHI,72.2,.267
,24.4,W,.215,.584,80.0,50.6,4.5,96.6,2023-12-14,8.3,26,124,.387,@,128.3,.559,120.1,4.3,CHI,71.1,.323
,32.4,L,.338,.646,78.4,56.3,14.3,91.7,2023-12-16,8.7,27,116,.494,@,126.4,.584,128.6,8.3,CHI,67.6,.377
