pts_per_g,ws_per_48,year,mp_per_g,player,trb_per_g,g,vorp,ast,ws,pts,mp,college_name,ast_per_g,trb,fg3_pct,ft_pct,bpm,pick_overall,fg_pct,team_id,seasons
9.8,.071,2020,27.6,Jaden McDaniels,3.7,288,0.1,409,11.7,2818,7947,Washington,1.4,1067,.352,.730,-2.4,28,.483,LAL,5
5.5,.045,2020,14.2,Malachi Flynn,1.7,213,-0.9,407,2.8,1168,3032,San Diego State,1.9,369,.334,.745,-2.6,29,.387,TOR,4
17.5,.129,2020,28.9,Desmond Bane,4.2,249,-0.5,824,19.3,4347,7201,TCU,3.3,1047,.415,.880,2.2,30,.469,BOS,5
1.0,-.035,2020,4.5,Tyrell Terry,0.5,13,7.6,6,0.0,13,59,Stanford,0.5,6,.000,.333,-4.8,31,.353,DAL,2
1.9,.058,2020,5.1,Vernon Carey Jr.,1.4,37,0.0,5,0.2,72,187,Duke,0.1,50,.143,.654,-6.3,32,.474,CHO,3
1.9,.086,2020,5.7,Daniel Oturu,1.6,33,-0.2,10,0.3,63,188,Minnesota,0.3,53,.167,.706,-5.2,33,.431,MIN,2
7.8,-.002,2020,21.2,Th̩o Maledon,2.8,177,-0.2,518,-0.2,1373,3753,,2.9,489,.310,.793,-4.6,34,.372,PHI,4
5.9,.123,2020,17.3,Xavier Tillman Sr.,4.1,232,-2.4,314,10.3,1368,4014,Michigan State,1.4,951,.268,.574,0.2,35,.518,SAC,5
1.0,-.033,2020,3.9,Tyler Bey,1.1,18,2.2,3,0.0,18,71,Colorado,0.2,19,.250,.600,-9.5,36,.318,PHI,1
4.4,.044,2020,17.1,Vit Krejci,2.2,85,-0.1,128,1.3,376,1452,,1.5,184,.345,.784,-4.6,37,.435,WAS,4
5.2,.085,2020,14.5,Saben Lee,1.9,134,-0.9,378,3.5,697,1943,Vanderbilt,2.8,260,.271,.734,-1.4,38,.421,UTA,4
2.9,-.039,2020,9.2,Elijah Hughes,1.2,54,0.3,28,-0.4,157,498,Syracuse,0.5,67,.280,.769,-6.4,39,.328,NOP,2
1.1,-.077,2020,3.5,Robert Woodard II,1.1,25,-0.5,5,-0.1,27,87,Mississippi State,0.2,27,.200,.500,-7.7,40,.278,MEM,2
8.6,.101,2020,22.0,Tre Jones,2.8,252,-0.1,1201,11.7,2156,5555,Duke,4.8,711,.301,.842,-0.8,41,.481,SAS,5
6.9,.147,2020,17.3,Nick Richards,5.4,204,1.7,115,10.8,1403,3528,Kentucky,0.6,1099,.250,.729,-2.0,42,.661,NOP,5
3.8,-.008,2020,8.9,Jahmi'us Ramsey,1.2,39,0.0,21,-0.1,147,349,Texas Tech,0.5,45,.271,.680,-5.4,43,.416,SAC,3
1.4,-.026,2020,3.4,Marko Simonovic,0.8,16,-0.3,0,0.0,23,55,,0.0,12,.222,.692,-12.3,44,.273,CHI,2
7.6,.043,2020,16.3,Jordan Nwora,3.2,206,-0.1,216,3.0,1564,3359,Louisville,1.0,659,.376,.807,-2.8,45,.433,MIL,4
4.6,.018,2020,15.5,CJ Elleby,2.9,88,-0.7,97,0.5,407,1366,Washington State,1.1,259,.275,.717,-5.2,46,.390,POR,2
